N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	nar	phu	tangbe-checked	tang	examples
1	1	T	ᴬ	_U	¹,˥,X	¹,˥	¹,X,˥	¹,˥	¹,X,˥	¹,X,˥	¹,˥	¹,˥	⁵⁴,⁴³,⁵³		ᴴ	X	
2	1	T	ᴮ	_U	²,X,˥	²,˥	²,X,˥	²,˥	²,X,˥	²,X,˥	²,˥	²,˥	⁵⁵,⁴⁵		ᴴ	X	
3	1	T	ᴬ	_W	³,X	³	³,X	³	³,X	³,X	³	³	²¹,¹¹		ᴸ	X	
4	1	T	ᴮ	_W	⁴,X,˩	⁴	⁴,X,˥	⁴	⁴,X,˥	⁴,X,˩	⁴,˩	⁴	¹²,¹³		ᴸ	X	
900	1	Type	TGTM	Contexte	ris	sahu	tag	tukche	marpha	syang	ghachok	praka	nar	phu	tangbe-checked	tangbe-tst	examples
901	1	X	ᴬ	_U	¹,ᴴ	¹	¹,ᴴ	¹,ᴴ	¹,ᴴ	¹,ᴴ	¹	¹	⁵⁴,⁴³,⁵³		ᴴ	ᴴ	
901	1	X	ᴮ	_U	²,ᴴ	²	²,ᴴ	²,ᴴ	²,ᴴ	²,ᴴ	²	²	⁵⁵,⁴⁵		ᴴ	ᴴ	
903	1	X	ᴬ	_W	³,ᴸ	³	³	³	³	³,ᴸ	³	³	²¹,¹¹		ᴸ	ᴸ	
4	1	X	ᴮ	_W	⁴,ᴸ	⁴	⁴,ᴴ	⁴	⁴,ᴴ	⁴,ᴸ	⁴	⁴	¹²,¹³		ᴸ	ᴸ	
5	1	R,V	i		i	i	i	i	i	i	i	i	ɪ	ɪ=ẹ		i	yak femelle' Phu ⁵⁴prɪ ,  ;'quatre' Phu ²²blɪ , ‘peau, cuir’ Phu ¹¹ɖɪ̆  ;'homme' TGTM *Ami > nar ²²mɪʱ phu ²¹mɪ̆ʱ  ;'échelle' TGTM *Aʰli (GT) > nar ⁵⁴ɬhɪ , phu ⁴³hɬɪ  ;'filth' TGTM *Agri > nar ²¹grɪ , phu ¹¹grɪ
6	1	R	iː		iː	iː	iː	i	i	i	i	i	iː	iː 		i	oeil' *ᴮʰmiː > Phu ⁵⁴miː / ⁵⁵miː ;'écorce' TGTM *Apʰiː > nar ⁴⁴³phiː , phu ⁴⁴phiː ;'deux' TGTM *Bniː > nar ¹²ɲiː
7	1	R	ik		ik	iː,ik	iː	i	ɤi	ɨ	i	i	iː	i,iː		i	un' *ᴮgrik > nar ¹²kriː , Phu ²²griː, ²²kri
8	1	R	it		it	it,iː,ip	iː,i	i	it,i	?	i,iː	iː				i	
9	1	R	ip		ip	ip	ip	i	?	?	?	i				ip	
10	1	R	is		is	is	is	is	is	is	i	i	i=iː	i	is	is	sept' TGTM *ᴮsnis > nar ⁶⁶ɲi(ː) , phu ⁵⁵ɲĭ , Tangbe ⁴⁴ɲis
11	1	R	iŋ		iŋ	iŋ	iŋ	in	in	in,im,un	ĩ	ĩ	iŋ=ɯŋ	iŋ,ĩ,ɯŋ		iŋ	bois' phu ⁴⁵ʃĩŋ , 'coeur' phu ⁴⁴kĩ·  ;'femme' TGTM *Aʰmriŋ > nar ³³mrɯŋ / ⁵⁴mriŋ  phu ⁴²mrɯŋ / ³⁴²mrĩŋ  ;'vert' phu ⁵⁵pĩː ;'neige' TGTM *Bgliŋ > nar ¹²gliŋ ;'terrasse, paume, plante' TGTM *Atʰiŋ (TT) > nar ⁴³thiŋ
12	1	R	in		in	in	in	in	in	in	ĩ	ĩ,in	in	in		iŋ	nom' TGTM *Aʰmin > nar ⁴³min , phu ⁵⁴min , Tgb ᴴmiŋ
13	1	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	
14	1	R	im		im	im,em	im	im	in	im	ĩ	ĩ,in	im	ɪm		im	maison' TGTM *Bdim > nar ¹²dim , phu ²¹gjĭm , Tgb dim
15	1	R	ir		ir	ir	ir	ir	?	ir	?	?	?	?		?	
16	1	R	il		il	?	?	i	e,il,ĩl	e	e	ɛr	ilɛ	ɪl		 ?	paume' nar ⁴⁴jaː ⁵⁴thil , Phu ³³jaː ⁴²khɪl (comp Manang (1972) ⁵⁵jaː ³²'³³thili) ;'gencive' TGTM *Aŋil/nil > nar ²³'³²ɲillɛ , phu ¹⁰ɲĭl 
17	1	R	wi		wi	ui,ai	wi	i,ui	wi	wi,i	wi,i	i,ui	wiː,yi=yiː	wi=yi,ɯ		ʷi	argent' TGTM *Bmwi > nar ¹²mwiː , phu ¹¹mỹi , TGB mʷiʱ  ;'clan paternel' phu ²¹rɯʱ < TGTM *Arwi (seulnt ris.³rui)
18	1	R	jwi		jwi	i	ju	ju	ju	ju	ju	ju,jy	yi,ju	ju		ju	dix' TGTM *Btsjui > nar ⁵⁴tʃju , Phu ⁴⁴tsjuʰ / ⁵⁴tʃju / ⁴³tʃju  ;'eau' TGTM *Bkjui > nar ⁴³kjuː / ⁵³kju (comp phu ⁴³tʃju), Tgb ⁴⁴kju ;'tradition' TGTM *Bgjui > Nar ¹²gyi 'caste' , Phu 
19	1	R	uiu		wi	uju	uju	uju	uju	uju	?	?				uju	vieille femme' Tgb ⁵⁵'³³khujuk
20	1	R,V	e		e	e	e	e	e	e,ja	e	iɛ,ie,eɛ	jɛ	jɛ	e	e	femme' TGTM *ᴬbe > nar ²¹bjɛ , Phu ³²pjɛʱː  ;'boeuf/vache' TGTM *Bme > nar ²¹mjɛʱ / ¹¹²mjɛʱ , Phu ²²mjɛ̆ʱ / ²¹mjɛ / ¹¹mjɛ̆ , Tangbe ²¹meʱ ;'langue' TGTM *Bʰle > nar ⁵³ɬhɛ , phu ⁴³hɬɛ
21	1	R	eː		eː	eː	eː	e	e,a,i,ʌ	e	i	e	jeː	je,jeː		?	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
22	1	R	eː	/kr_	eː	?	eː	e	ʌe	ʌe	e	e	e,eː	eː		jeʔ	la taille' TGTM *Akreː > nar ⁴³kre / ⁵⁴ kre , phu ⁵⁵kreː
23	1	R	eː	/s_	eː	eː	eː=jeː	e	e	?	e	iː	?	?		?	
24	1	R	je		e	e	e	e	i	i	i	ie	jɛ	jɛ		e	feu' TGTM *Aʰmje > nar ⁵⁴mjɛ Phu ⁵⁴mjɛ̆ / ⁴³miɛ 
25	1	R	ek		ep,ek	ek	?	e	?	?	?	?				ek	
26	1	R	et		et	et,ep	eː	e,i	e,eʌ,i	e	i,jo	e,eː	je	je,eː		e	la droite' TGTM *Aket (TT) > nar ⁵⁴kje / ⁵⁴kje , phu ⁴³kje / kjeː , Tgb ja ke  ;'honte' TGTM  > nar ⁵⁵pje
27	1	R	ep		ep	ep	?	əp	o,e	o	aː	e	ou			e,ɛ	chaud (nourriture)' TGTM *Aʰlep > nar ⁵⁴lou (??)
28	1	R	eŋ		eŋ	eŋ	eŋ	en	jaŋ	jaŋ,en	ẽ	jaŋ	jaŋ			?	pain' TGTM *Ageŋ > nar ²¹gjaŋ
29	1	R	en		en	eː,en	en	ən	en	en	ẽ	ẽ				ɛn=en	faim' TGTM *khren > Tgb (pho) khɛn
30	1	R	em		em	em	?	əm	ʌm	ʌm	aẽ,ẽ	ẽ	ɛm=əm	ɛm			esprit, sentiment' TGTM *Asem > phu ⁴³sɛm (sɛ̨m) , nar ⁵⁴sɛm/səm
31	1	R	ew		e	e	e	e	u	e	e	e					
32	1	R	er		er	er	er	er	?	?	er	?				er	gold' Tgb ᴴser
332	1	R	es		eː	eː	eː	e	e	e	e	e	jeː	je,jeː		er	queue' TGTM *Aʰmeː > nar ⁵⁴mjeː , phu ⁴⁴mje(ː) (comp Tangbe ⁵⁴mĕr)
33	1	R,V	a		a	a	a	ə	ʌ	ʌ	a	ɤ	æ	ɛ		ə	mari' TGTM *Apha > nar ⁴³phæ , Phu ⁵⁵phɛ  ;'tête/cheveu' TGTM *Akra > nar ⁴³kræ / ⁵⁴kræ, Phu ⁴⁴krɛ  ;'ennemi' TGTM *Bgra > nar ¹³græ, phu ¹¹krɛː (comp Tangbe ²⁰ɖə) ;'chèvre' TGTM *ᴬʰra > nar ⁵⁴ræ, phu ⁵⁴rɛ ;'petit bambou' TGTM *Bʰma > nar ⁵⁴mæ , Phu ³²mɛ ;'terre' TGTM *Asa > nar ⁵⁴sæ̆  , phu ⁴³sɛ̆
34	1	R	aː		aː	aː	aː	a	a	a	o	a=aː	aː	aː=a		a,ɔː	falaise' TGTM *Bbraː > nar ¹¹²braː , Phu ¹¹praː ;'courroie de portage' TGTM *Bɖaː > nar ¹²¹ɖhaʱː , phu ¹¹ɖaː  ;'sang' TGTM *Bkaː > nar ⁵⁵⁴kaː , phu ³³kaː ;'gendre' TGTM Amaː > nar ³³maʱː phu ²¹maʱ  ;'poteau' TGTM Adaː > nar ¹¹taː , phu ²¹taːʱ ;'pus' TGTM *Anaː > phu ²¹naʱ , nar ¹⁰¹naː ;'mauvaise herbe' TGTM *A/Bʰmra(ː) > nar ⁵⁵⁴mr̃ãː phu ⁵⁵mrã̃
35	1	R,V	ja		ja	ja	ja	e	e	e,jo,jɛ	e	je	æ,jæ	jɛ,ja			viande' TGTM *Asja > nar ⁵⁴ɕæ , Phu ⁴³ʃjɛ ;'cent' TGTM *ᴮgja > nar ²¹gjæ , phu ²¹gjæ / ²¹gjɛ (comp WT brgya, Ris 4kjarca) ;'flèche' TGTM *Aʰmja > nar ⁵⁴mję , phu ³²mja (ja en Phu est un apax)
36	1	R	jaː		jaː	jaː	jaː	ja	ja	ja	jo	ja=jaː					
37	1	R,V	wa		wa	wa	wa	o	o	o	o	o	ɔ=o	ɔ		ɑː,o	blé' TGTM *Bgrwa > nar ²³¹grɔ phu ²¹grɔ̆ , Tgb ²²kʱoʱ ;'fontanelle' TGTM *Bʰŋwa >  Nar ⁵³ŋɔ , Phu ⁵⁴ŋɔ  ;'piège' TGTM *Bʰŋwa > nar ⁵⁴ŋo (ton plutôt *A que *B), Tgb ³³ɲɑː
38	1	R,V	wa	/tʰ_	o	?	o	o	o	o	u	a	oː	ɔː			salive' TGTM *ᴮthwa > nar ⁵⁴thoː, phu ⁴⁴thɔː
39	1	R,V	wa	/s_	wa	a	a,wa	ə	ʌ	o	a	ɤ	ɔ	ɔ	ə	ə=ʌ	dent', TGTM *Aswa > phu ³²sɔ , nar ⁵⁴sɔ , Tangbe ⁴³sə
40	1	R	waː		waː	aː	?	o	?	?	o	?				o	
41	1	R	waː	/s,tsʰ_	waː	waː,aː	?	o	a	?	o	?					
42	1	R	ai		ai	ai,eː=jeː	ai	ʌi=ʌj,e	əi,e,əe	ʌi,ai,ɛ	ae,we,ai,wi	eː	ɛi				fer' TGTM *Bphai > nar ⁵³phɛi 
43	1	R	ai	/r,t_	ai	ai,eː	ai	e	e	ɛ	e	eː	e,ɛ,eː			e	côte (os)' TGTM *Bʰrai > nar ⁵⁵rɛ ³·ʃiŋ / ⁵⁵re ³·ʃiŋ , Tgb ⁴⁴re ;'cuire à l'eau' TGTM *Bdai (Tag)> nar ²¹'²²deːbɛ , Tgb ᴸteʱ
44	1	R	ai	/tʰ_	ai	eː	eː	e	eʌ,eː	?	eː	?				?	
45	1	R	jai		jai	?	?	?	?	?	e	jeː					
46	1	R	au		au	?	?	ap	?	?	?	?					
47	1	R	ak		aː,ak	aː,ak	?	a	a	a	?	?				ak	broom'
48	1	R	at		at	et,e,ep	eː,e	e	e,je,ʌi	e,ʌi	e,ae,aː	e,je,eː	e,eː	e	eʔ	eʔ,eː	plein à ras' TGTM *ᴮʰnat > nar ⁵³ne  ;'huit' TGTM *ᴮbrat > nar ¹¹²prɛːʱ , phu ¹¹pre , Tangbe ¹¹prɛʔ ;'pou' TGTM *ᴮsjat > nar ⁵⁵⁴ʃje ;'travail' TGTM *ᴮgjat > nar ¹¹²gje , phu ¹¹¹gjẽː , Tangbe ³³³kjeʔ 
49	1	R	at	/k_	at	et	eː	əi=əj	ʌe	ʌe	ae	je	e,eː,ᵊe	e		je,e,eʔ	voix' TGTM *Bkat (sauf Gha *Akat) > nar ⁵⁴keː / ⁵⁴kᵊe , phu ⁴³ke , Tgb ⁴⁴kjeʔ
50	1	R	wat		wat	wet	wai	oj,e	?	?	we	?		ɛ		?	petit aigle' phu ¹¹krɛ < TGTM *Bgrwat (comp tib. khra)
51	1	R	ap		ap	ap	ap	əp,əw,a	o	o	aː	e,je	ou,ɔu	oː=ɑː,ɑu	əp	əp=ʌp	(pâte à )bière' TGTM *Abap > nar ¹²pɔu / ³²pɔu, Phu ¹¹poʱː ⁵⁴kheː ; 'bière' Phu ¹¹poʱː / ³¹poː , Tangbe ¹⁰bɔʱp ;'aiguille' TGTM *Bdap > nar ¹¹²dou , phu ¹¹tọːʱ , Tangbe ²¹təp ⁴⁴gaŋ 'porte-aiguille'  ;'pincettes' TGTM *Bgap > nar ¹¹²gou , phu ¹¹'¹²²gɑu ;'couvercle' TGTM *Agap > nar ²¹gou , phu ¹¹˰gɑː ;'boeuf' TGTM *Bglap > nar ²³²glou, phu ¹¹gloː  ;'porte' TGTM *Bʰmrap > nar ⁵⁴mrou phu ³²mroː Tangbe ⁴³nəp ;'légume feuillu' TGTM *ᴬɖap > nar ¹¹ʈou / ²¹ʈou ;'morve' TGTM *Bʰnap (sauf Sahu *A) > nar ⁵⁴nou (phu ⁴⁴na)Tangbe ⁴³nəp
52	1	R	jap		jap	jap	?	ep,e,jəp	?	jo	jaː	?	jɔu	joː		jəp	‘ring’ TGTM *Btsjap > nar⁴⁴'³tsjɔu , Phu ⁴⁴tʃjoː , Tgb ⁴⁴tsjəp
53	1	R	aŋ		aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	õ,ũ	aŋ	aŋ	aŋ,ãː		aŋ	-ful' Phu -⁴⁴naŋ,  ;'noir' phu ⁵⁴mlaŋ ,  ;'bru' TGTM *Atsaŋ > nar ⁵⁴tsaŋ , phu ⁴⁴³tsãː  ;'os long' TGTM *Akaŋ > nar ⁵⁴kaŋ , phu ⁴³kaŋ  ;'mortier' TGTM *Alaŋ (TTM) > nar ²¹laʱŋ , phu ¹⁰laʱŋ
54	1	R	aŋ	/tʰ_	aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	ãː	aŋ	aŋ	aŋ			odeur' TGTM *Athaŋ > nar ⁵⁵thaŋ , phu ⁴³thaŋ
254	1	R	jaŋ		jaŋ,eŋ	jaŋ,eŋ	jaŋ,eŋ	jaŋ	jaŋ	jaŋ	jõ	jaŋ	jaŋ	jaŋ		jaŋ	
55	1	R	an		an	en	an	ən	ʌn	ʌn	aẽ	jɛ̃=jẽ,ẽ	an	ɛn		en	riz', *Akan > nar ²²kan /⁴³kan, Phu ⁵⁴kɛ̆n (comp Man ³²kjẽ) ;'remède' TGTM *Aʰman > nar ⁵⁴man , phu ⁵³mɛn / mən
56	1	R	an	/j,tʰ_	an	en	an	en	an	ɛn	ẽ	e,ẽ	ɛn	ɛn			panthère' TGTM *Atsjan > nar ⁴⁴paŋ ⁴⁴tsjɛn , Phu ³¹tʃjɛn
57	1	R	jan		jan	en	jan	jen	?	jɛn	ẽ	e,jeː	jɛn	jɛn			panthère' TGTM *Atsjan > nar ⁴⁴paŋ ⁴⁴tsjɛn , Phu ³¹tʃjɛn
58	1	R	wan		wan	wen,jen	wan	on	on	on	wẽ	wɛ̃=wẽ	on	on		ɔ,ɔn	vêtement' TGTM *Akwan > nar ⁵⁴kon , Phu ⁵⁴kon 
59	1	R	am		am	am	am	om,əm	ʌm	ʌm	ãẽ,ã,ãː	ən,ẽ,e	am	am			épi' TGTM *Aʰnam > phu ⁵⁵nam  ;'parole' TGTM *Atam > nar ⁵³tam
60	1	R	ar		ar	ar	ar	ər,ar	ʌr	ʌr	a,aː,aːra	ɤr	ar,ər	ar		ar,ʌr	blanc' TGTM *Atar > nar ⁵⁴tar phu ⁵⁵tar  ;'aval' TGTM *Aʰmar > nar ⁵⁵mər Phu ⁵⁴mar ;'or' TGTM *Bmar > nar ²¹²mar , phu ²²mar  ;'étoile' TGTM *Bsar > nar ⁴³'⁵⁴sara , phu ³²sar 
61	1	R	jar		jar	jar	er,jar	jar	ʌr	?	jaː	je,jɤr					
261	1	R	al	/+	ai,al							eː,e	ɛi	al		al	rein' Man (MM) ⁵⁶khxeː , nar ³²khęi , Phu ⁴³'³³khalma , Tgb khaltɔ ;'laine' TGTM *Abal > Man (MM) ²²pe , nar ⁴³pɛi  ;'crapaud' Phu ²²'³²paːlbə ;nb: maybe in Ris *l > i /-r, mais elsewhere *l > l
62	1	R	wal		al,wal	al	wal,wai	o	ol	?	ad,ol	wol					
63	1	R	wai		wai	wai	wai	oj	we	?	we,wi	we	we,ɔe,øe	øi		oe,je	chant' TGTM *Bgwai > nar ¹²gweʱ , phu ¹¹gøi , Tgb ¹¹koeʱ ~kjeʱ
64	1	R	jal		jal	jal	jal	jal,jəl	il,iː,jal	?	jaːla,e	?					
65	1	R,V	o		o	o	o	o	o	o,u	o	o,wo	ɔ,o	ɔ	o	o	daim' TGTM *Apho > nar ⁵³phoː , phu ⁴³phɔ ;'lac' TGTM *Atsho > nar ⁴³tshɔ̆ , phu ⁵⁴tshɔ̆ , Tangbe ⁴⁴³tsho
66	1	R	oː		oː	oː	oː	o	o,u	o	u	o	ɔː,oː	ɔː	oʔ	oʔ	variole' TGTM *Bbroː > nar ¹¹prɔʱː , phu ¹¹brɔː , Tangbe ³³proʔ ;'corde' TGTM *Atshoː > nar ⁴³tshoː , (phu ⁵⁴'⁴thakpᵊ) , Tangbe ⁴³tshoʔ
67	1	R	oi		oi	oi,e	oe	oi=oj	oi	we	we=oe	wɛː=we					
68	1	R	joi		joi	joi	joe	e	ʌe	e	jwi	eː	juː			jɔ	croc' TGTM (¹sjoi / ²tshjoi) > nar ⁵⁴³tʃhjuː , Tgb tshjɔ
69	1	R	ok		oː,o	ok	?	?	?	?	?	?				ok	salive' TGTM *Bthok > ris ²tho , Tgb thok
70	1	R	ot		ot	ot,oi,op	oi=oe,oː	oi=oj	?	oi	wi	e,we,i					
71	1	R	ot	/t,d,tʰ_	ot	ot,oi,op	oi=oj	e	e	ʌi,e	i	e	ɔe,øe,we	øː	e	e	charge' TGTM *Bdot > nar ²¹²dɔe / ²¹²døe , Tgb ²²te ;(?) 'couleur' TGTM *Atshon/Btshot > nar ⁴⁴tshøe , phu ⁴⁴³tshøː
72	1	R	jot		jot	jot,joi,jop	?	je	?	?	jwi	i				e	
73	1	R	jot	/s_	jot	jot,jop	joː,joe	je	?	?	jwi	?				e	
74	1	R	wap		op	?	?	əw	ʌp	op	o	oː				əu	poumon' TGTM *Bglop/*Bglwap > nar ¹¹'¹⁰globɛ/¹¹¹'¹¹glɔ̆bɛ (comp phu ²¹lŏʱ) , Tgb kʱjəu
75	1	R	op		op	op	op	əp	o	?	o	?				əu	
