# id,P-N.Vanuatu,Loc in etymon,Loc in new σ,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera'a,Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
,*,,,,hiw,ltg,lhi,lyp,vlw,mtp,lmg,vra,vrs,msn,mta,num,drg,kro,olr,lkn,mrl
,ᵐbʷ,ˈ_V(C)V,onset,,kʷ,kʷ,kʷ,k​͡pʷ,ᵑg​͡bʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,kʷ
,ᵐbʷ,ˈ(C)V_V,coda,,kʷ,kʷ,k,ŋ,ŋ​͡mʷ,k​͡pʷ,k,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k
,ᵐb,ˈ_o/u,onset,,k|kʷ,kʷ,kʷ,k​͡pʷ,ᵑg​͡bʷ,k​͡pʷ,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
,ᵐb,ˈ_o/u,coda,,kʷ,kʷ,k,ŋ,ŋ​͡mʷ,k​͡pʷ,p,m,m,p,p,m,ᵐb,m,p,p,m
,ᵐb,ˈ_V(C)V,onset,,p,p,p,p,ᵐb,ᵐb,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
,ᵐb,ˈ(C)V_V,coda,,p,p,p,p,m,m,p,m,m,p,p,m,ᵐb,m,p,p,m
,ⁿd,ˈ_V(C)V,onset,,t,t̻,ⁿd,ⁿd,ⁿd,ⁿd,t,ⁿd,ⁿd,n,n,ⁿd,ⁿd,ⁿd,ʧ,ʧ,ⁿd
,ⁿd,ˈ(C)V_V,coda,,t,t̻,n,n,n,n,t,n,n,n,n,n,ⁿd,n,ʧ,ʧ,n
,ᵑg,ˈ_V(C)V,onset,,k,k,k,k,ᵑg,k,k,k,k,k,k,k,k,k,k,k,k
,ᵑg,ˈ(C)V_V,coda,,k,k,k,ŋ,ŋ,k,k,k,k,k,k,k,k,k,k,k,k
,β,ˈ_V(C)V,onset,,β,β,β,β,β,β,β,f|β,β,β,β,f|β,β,β,β,β,f|β
,β,ˈ(C)V_V,coda,,β,β,p,p,p,p,β,f,β,ɸ|β,β,β,β,β,β,β,p
,t,_i,,,t,s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,s,t
,t,,_V[+front],,t,t|s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t|s,t
,t,_(a/o/u),,,t,t,t,t,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t,t
,s,,,,s|t,h,s|h,s,s|h,s|h,s,s,s,s,s,s,s,s,s,s|h,s
,ɣ,ˈ_V(C)V,onset,,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ
,ɣ,ˈ(C)V_V,coda,,ɣ,ɣ,Ø,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ː,ɣ,ɣ
,mʷ,ˈ_V(C)V,onset,,ŋʷ,ŋʷ,ŋʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋʷ
,mʷ,ˈ(C)V_V,coda,,ŋ,ŋʷ,ŋ,ŋ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ
,m,,,,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,n,,,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
,ŋ,,,,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ
,r,,onset,,ᶢʟ,r,j,j,j,j,r,r,r,r,r,r,r,r,r,r,r
,r,,coda,,ᶢʟ,r,j,j,j,j,r,r,r,r,r,r,r,r,j,ː,r
,l,,,,j,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l
,w,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,w,,,,w,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø,w|Ø
,p,ˈ_o/u,,,w|Ø,w|Ø,β|w,β|w|Ø,β|w|Ø,β|w|Ø,f|β|w,f|β|w,β|w|Ø,β|w,β|f|w|Ø,β|f|w|Ø,β|w|Ø,β|w|Ø,β|w|Ø,β|w|Ø,f|β|w
,k,ˈ_o,,,ɣ|w,ɣ,ɣ|w|Ø,ɣ|w,ɣ|w,ɣ|w,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ|w|ː,ɣ|w,ɣ
,k,ˈ_u,,,ɣ|w,ɣ,ɣ|w|Ø,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w|ː,ɣ|w,ɣ|w
,i,ˈ_Ci,,,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
,i,ˈ_Ce,,,ɪ,i,ɛ,i​͡ɛ,ɪ,ɪ,æ,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ​͡a
,i,ˈ_Ca,,,ɪ|i,e|i,ɛ,i​͡ɛ|ɛ,ɪ,ɪ,æ,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ​͡a
,i,ˈ_Co,,,ɪ,i,ɛ,i​͡ɛ|ɪ,ɪ,ɪ,æ,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ​͡a
,i,ˈ_Cu,,,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
,e,ˈ_Ci,,,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
,e,ˈ_Ce,,,ɪ,i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ|ɛ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
,e,ˈ_Ca,,,e,e|ɛ,æ,ɛ,ɛ,ɛ,æ,ɛ,i​͡a,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
,e,ˈ_Co,,,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
,e,ˈ_Cu,,,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
,a,ˈ_Ci,,,ɔ|e,ɛ|i​͡ɛ,æ,ɪ,ɛ,ɛ,ɛ,a|ɛ,ɛ|œ,ɛ,a,a | ɛ,aː|ɪ,ɛ​͡a,ɪ|a,æ,ɪ|ɛ|ɛ​͡a
,a,ˈ_Ce,,,a,a|e,a,a,a,a,a,a,i​͡a,a,a,a,a,a,a,æ,ɛ
,a,ˈ_Ca,,,a,a|e,a,a,a,a,ɒ,a,a,a,a,a,a,a,a,a,a
,a,ˈ_Co,,,a|e,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
,a,ˈ_Cu,,,ɔ,ɔ|ɛ,ɒ,ɪ|ø ,ɛ,ɛ,œ|ɛ,ɛ|a|ɔ,ɛ|œ,ɔ,a,a,aː|ɪ,ɛ​͡a,ɔ,a,ɞ|ɔ​͡ɞ
,o,ˈ_Ci,,,ɵ,ə,o|e,ʊ|ø,ɪ,ɪ|ʊ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ʊ,ɪ,ʊ
,o,ˈ_Ce,,,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɞ
,o,ˈ_Ca,,,ɔ,ɔ|o​͡ɔ|i​͡ɔ,ɒ,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
,o,ˈ_Co,,,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
,o,ˈ_Cu,,,ɵ,ə,o|e,ø,ɪ,ɪ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ɪ|ʊ,ɪ,ʊ|ɵ​͡ʊ
,u,ˈ_Ci,,,ʉ,ʉ,ʉ,y|i,i,u|i,u,i,y,u,u,u,u,u,u,u,u
,u,ˈ_Ce,,,ʉ,ʉ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u|,u|ʊ,ʊ,ʊ,ʊ,ʊ,ʊ
,u,ˈ_Ca,,,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u,u|ʊ,ʊ,ʊ,ʊ|u,ʊ,ʊ
,u,ˈ_Co,,,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u,u|ʊ,ʊ,ʊ,ʊ,ʊ,ʊ
,u,ˈ_Cu,,,ʉ,ʉ,ʉ,y|i,i,i,u,i|u,y,u,u,u,u,u,u,u,u
,i,ˈ_i,,,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
,i,ˈ_e,,,ɪ,i,ɛ,i​͡ɛ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,,ɛ​͡a
,i,ˈ_a,,,ɪ|i,e|i,ɛ,i​͡ɛ|ɛ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,,ɛ​͡a
,i,ˈ_o,,,ɪ,i,ɛ,i​͡ɛ|ɪ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,,ɛ​͡a
,i,ˈ_u,,,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
,e,ˈ_i,,,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,,ɪ
,e,ˈ_e,,,ɪ,i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ|ɛ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,,ɪ
,e,ˈ_a,,,e,e|ɛ,æ,ɛ,ɛ,ɛ,æ,i,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,,ɪ
,e,ˈ_o,,,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,,ɪ
,e,ˈ_u,,,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,,ɪ
,a,ˈ_i,,,ɔ|e,ɛ,ɛ,ɪ,ɛ,ɛ,ɛ,a,ɛ|œ,ɛ,a,a | ɛ,a,a,a,,ɪ|ɛ
,a,ˈ_e,,,a,a|e,a,a,a,a,a,i,i​͡a,a,a,a,a,a,a,,ɛ
,a,ˈ_a,,,a,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,,a
,a,ˈ_o,,,a|e,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,,a
,a,ˈ_u,,,ɔ,ɔ|ɛ,ɒ,ɪ|ø ,ɛ,ɛ,œ,ɛ|a|ɔ,ɛ|œ,ɔ,a,a,a,a,ɔ,,ʊ
,o,ˈ_i,,,ɵ,ə,o|e,ʊ|ø,ɪ,ɪ|ʊ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ʊ,,ʊ
,o,ˈ_e,,,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,,ɞ
,o,ˈ_a,,,ɔ,ɔ,ɒ,œ,ɔ,ɔ,ɔ,u,ɔ,ɔ,o,ɔ,ɔ,ɔ,ɔ,,ɔ
,o,ˈ_o,,,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,,ɔ
,o,ˈ_u,,,ɵ,ə,o|e,ø,ɪ,ɪ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ɪ,,ʊ/ɵ​͡ʊ
,u,ˈ_i,,,ʉ,ʉ,ʉ,y|i,i,i,u,i,y,u,u,u,u,u,u,,u
,u,ˈ_e,,,ʉ,ʉ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ,,ʊ
,u,ˈ_a,,,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ|u,,ʊ
,u,ˈ_o,,,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ,,ʊ
,u,ˈ_u,,,ʉ,ʉ,ʉ,y|i,i,i,u,i|u,y,u,u,u,u,u,u,,u
,i,ˈV(C)_#,,,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø
,e,ˈV(C)_#,,,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,e,Ø,Ø,Ø,Ø,Ø,Ø
,e,ˈi/u(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ɪ,Ø,Ø,e,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈi(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ɪ,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈe(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ɛ,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈa(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,a,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈa_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈo(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ɔ,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,a,ˈu(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ʊ,Ø,Ø,a,Ø,Ø,Ø,Ø,Ø,Ø
,o,ˈi/u(C)_#,,,ə,ə,Ø,Ø,Ø,Ø,Ø,ɪ,Ø,Ø,o,Ø,Ø,Ø,Ø,Ø,Ø
,o,ˈV(C)_#,,,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,o,Ø,Ø,Ø,Ø,Ø,Ø
,u,ˈV(C)_#,,,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø,Ø
