#id,P-N.Vanuatu,Loc in etymon,Loc in new σ,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera'a,Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
,*,,,,hiw,ltg,lhi,lyp,vlw,mtp,lmg,vra,vrs,msn,mta,num,drg,kro,olr,lkn,mrl
1,ᵐbʷ,ˈ_V(C)V,onset,C,kʷ,kʷ,kʷ,k͡pʷ,ᵑg͡bʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,kʷ
2,ᵐbʷ,ˈ(C)V_V,coda,c,kʷ,kʷ,k,ŋ,ŋ͡mʷ,k͡pʷ,k,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k
3,ᵐb,ˈ_o/u,onset,"C
",k|kʷ,kʷ,kʷ,k͡pʷ,ᵑg͡bʷ,k͡pʷ,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
4,ᵐb,ˈ_o/u,coda,C,kʷ,kʷ,k,ŋ,ŋ͡mʷ,k͡pʷ,p,m,m,p,p,m,ᵐb,m,p,p,m
5,ᵐb,ˈ_V(C)V,onset,C,p,p,p,p,ᵐb,ᵐb,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
6,ᵐb,ˈ(C)V_V,coda,c,p,p,p,p,m,m,p,m,m,p,p,m,ᵐb,m,p,p,m
7,ⁿd,ˈ_V(C)V,onset,C,t,t̻,ⁿd,ⁿd,ⁿd,ⁿd,t,ⁿd,ⁿd,n,n,ⁿd,ⁿd,ⁿd,ʧ,ʧ,ⁿd
8,ⁿd,ˈ(C)V_V,coda,c,t,t,n,n,n,n,t,n,n,n,n,n,ⁿd,n,ʧ,ʧ,n
9,ᵑg,ˈ_V(C)V,onset,C,k,k,k,k,ᵑg,k,k,k,k,k,k,k,k,k,k,k,k
10,ᵑg,ˈ(C)V_V,coda,c,k,k,k,ŋ,ŋ,k,k,k,k,k,k,k,k,k,k,k,k
11,β,ˈ_V(C)V,onset,C,β,β,β,β,β,β,β,f|β,β,β,β,f|β,β,β,β,β,f|β
12,β,ˈ(C)V_V,coda,c,β,β,p,p,p,p,β,f,β,ɸ|β,β,β,β,β,β,β,p
13,t,_i,,"C,c",t,s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,s,t
14,t,,_V[+front],"C,c",t,t|s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t|s,t
15,t,_a/o/u,,"C,c",t,t,t,t,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t,t
16,s,,,"C,c",s|t,h,s|h,s,s|h,s|h,s,s,s,s,s,s,s,s,s,s|h,s
17,ɣ,ˈ_V(C)V,onset,C,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ
18,ɣ,ˈ(C)V_V,coda,c,ɣ,ɣ,∅,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ː,ɣ,ɣ
19,mʷ,ˈ_V(C)V,onset,C,ŋʷ,ŋʷ,ŋʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋʷ
20,mʷ,ˈ(C)V_V,coda,c,ŋ,ŋʷ,ŋ,ŋ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ
21,m,,,"C,c",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
22,n,,,"C,c",n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
23,ŋ,,,"C,c",ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ
24,r,,onset,"C,c",ᶢʟ,r,j,j,j,j,r,r,r,r,r,r,r,r,r,r,r
25,r,,coda,"C,c",ᶢʟ,r,j,j,j,j,r,r,r,r,r,r,r,r,j,ː,r
26,l,,,"C,c",j,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l
27,w,,,"C,c",w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
28,w,,,"C,c",w,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅,w|∅
29,p,ˈ_o/u,,C,w|∅,w|∅,β|w,β|w|∅,β|w|∅,β|w|∅,f|β|w,f|β|w,β|w|∅,β|w,β|f|w|∅,β|f|w|∅,β|w|∅,β|w|∅,β|w|∅,β|w|∅,f|β|w
30,k,ˈ_o,,C,ɣ|w,ɣ,ɣ|w|∅,ɣ|w,ɣ|w,ɣ|w,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ|w|ː,ɣ|w,ɣ
31,k,ˈ_u,,C,ɣ|w,ɣ,ɣ|w|∅,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w|ː,ɣ|w,ɣ|w
32,i,ˈ_Ci,,V,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
33,i,ˈ_Ce,,V,ɪ,i,ɛ,i͡ɛ,ɪ,ɪ,æ,i,ɪ,ɪ,i|∅,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
34,i,ˈ_Ca,,V,ɪ|i,e|i,ɛ,i͡ɛ|ɛ,ɪ,ɪ,æ,i,ɪ,ɪ,i|∅,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
35,i,ˈ_Co,,V,ɪ,i,ɛ,i͡ɛ|ɪ,ɪ,ɪ,æ,i,ɪ,ɪ,i|∅,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
36,i,ˈ_Cu,,V,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
37,e,ˈ_Ci,,V,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
38,e,ˈ_Ce,,V,ɪ,i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ|ɛ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
39,e,ˈ_Ca,,V,e,e|ɛ,æ,ɛ,ɛ,ɛ,æ,ɛ,i͡a,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
40,e,ˈ_Co,,V,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
41,e,ˈ_Cu,,V,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
42,a,ˈ_Ci,,V,ɔ|e,ɛ|i͡ɛ,æ,ɪ,ɛ,ɛ,ɛ,a|ɛ,ɛ|œ,ɛ,a,a | ɛ,aː|ɪ,ɛ͡a,ɪ|a,æ,ɪ|ɛ|ɛ͡a
43,a,ˈ_Ce,,V,a,a|e,a,a,a,a,a,a,i͡a,a,a,a,a,a,a,æ,ɛ
44,a,ˈ_Ca,,V,a,a|e,a,a,a,a,ɒ,a,a,a,a,a,a,a,a,a,a
45,a,ˈ_Co,,V,a|e,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
46,a,ˈ_Cu,,V,ɔ,ɔ|ɛ,ɒ,ɪ|ø,ɛ,ɛ,œ|ɛ,ɛ|a|ɔ,ɛ|œ,ɔ,a,a,aː|ɪ,ɛ͡a,ɔ,a,ɞ|ɔ͡ɞ
47,o,ˈ_Ci,,V,ɵ,ə,o|e,ʊ|ø,ɪ,ɪ|ʊ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ʊ,ɪ,ʊ
48,o,ˈ_Ce,,V,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɞ
49,o,ˈ_Ca,,V,ɔ,ɔ|o͡ɔ|i͡ɔ,ɒ,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
50,o,ˈ_Co,,V,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
51,o,ˈ_Cu,,V,ɵ,ə,o|e,ø,ɪ,ɪ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ɪ|ʊ,ɪ,ʊ|ɵ͡ʊ
52,u,ˈ_Ci,,V,ʉ,ʉ,ʉ,y|i,i,u|i,u,i,y,u,u,u,u,u,u,u,u
53,u,ˈ_Ce,,V,ʉ,ʉ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u|∅,u|ʊ,ʊ,ʊ,ʊ,ʊ,ʊ
54,u,ˈ_Ca,,V,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u|∅,u|ʊ,ʊ,ʊ,ʊ|u,ʊ,ʊ
55,u,ˈ_Co,,V,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,ʊ,u,ʊ,ʊ,u|∅,u|ʊ,ʊ,ʊ,ʊ,ʊ,ʊ
56,u,ˈ_Cu,,V,ʉ,ʉ,ʉ,y|i,i,i,u,i|u,y,u,u,u,u,u,u,u,u
57,i,ˈ_i,,V,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
58,i,ˈ_e,,V,ɪ,i,ɛ,i͡ɛ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
59,i,ˈ_a,,V,ɪ|i,e|i,ɛ,i͡ɛ|ɛ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
60,i,ˈ_o,,V,ɪ,i,ɛ,i͡ɛ|ɪ,ɪ,ɪ,i,i,ɪ,ɪ,i,i,ɪ,ɪ,ɪ,ɪ,ɛ͡a
61,i,ˈ_u,,V,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i
62,e,ˈ_i,,V,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
63,e,ˈ_e,,V,ɪ,i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ|ɛ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
64,e,ˈ_a,,V,e,e|ɛ,æ,ɛ,ɛ,ɛ,æ,i,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
65,e,ˈ_o,,V,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
66,e,ˈ_u,,V,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
67,a,ˈ_i,,V,ɔ|e,ɛ,ɛ,ɪ,ɛ,ɛ,ɛ,a,ɛ|œ,ɛ,a,a | ɛ,a,a,a,æ,ɪ|ɛ
68,a,ˈ_e,,V,a,a|e,a,a,a,a,a,i,i͡a,a,a,a,a,a,a,æ,ɛ
69,a,ˈ_a,,V,a,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
70,a,ˈ_o,,V,a|e,a|e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
71,a,ˈ_u,,V,ɔ,ɔ|ɛ,ɒ,ɪ|ø ,ɛ,ɛ,œ,ɛ|a|ɔ,ɛ|œ,ɔ,a,a,a,a,ɔ,a,ʊ
72,o,ˈ_i,,V,ɵ,ə,o|e,ʊ|ø,ɪ,ɪ|ʊ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ʊ,ɪ,ʊ
73,o,ˈ_e,,V,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɞ
74,o,ˈ_a,,V,ɔ,ɔ,ɒ,œ,ɔ,ɔ,ɔ,u,ɔ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
75,o,ˈ_o,,V,o,o,ɛ,ɔ,ɔ,ɔ,œ,ʊ,ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ
76,o,ˈ_u,,V,ɵ,ə,o|e,ø,ɪ,ɪ,ø,ʊ,ø,ʊ,o,ʊ,ʊ,ʊ,ɪ,ɪ,ʊ/ɵ͡ʊ
77,u,ˈ_i,,V,ʉ,ʉ,ʉ,y|i,i,i,u,i,y,u,u,u,u,u,u,u,u
78,u,ˈ_e,,V,ʉ,ʉ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ,ʊ,ʊ
79,u,ˈ_a,,V,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ|u,ʊ,ʊ
80,u,ˈ_o,,V,ʉ|ɵ,ʉ|ɵ,ɔ,ʊ,ʊ,ʊ,u,u,ʊ,ʊ,u,u,ʊ,ʊ,ʊ,ʊ,ʊ
81,u,ˈ_u,,V,ʉ,ʉ,ʉ,y|i,i,i,u,i|u,y,u,u,u,u,u,u,u,u
82,i,ˈV(C)_#,,w,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
83,e,ˈV(C)_#,,w,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,e,∅,∅,∅,∅,∅,∅
84,e,ˈi/u(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ɪ,∅,∅,e,∅,∅,∅,∅,∅,∅
85,a,ˈi(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ɪ,∅,∅,a,∅,∅,∅,∅,∅,∅
86,a,ˈe(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ɛ,∅,∅,a,∅,∅,∅,∅,∅,∅
87,a,ˈa(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,a,∅,∅,a,∅,∅,∅,∅,∅,∅
88,a,ˈa_#,,w,ə,ə,∅,∅,∅,∅,∅,∅,∅,∅,a,∅,∅,∅,∅,∅,∅
89,a,ˈo(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ɔ,∅,∅,a,∅,∅,∅,∅,∅,∅
90,a,ˈu(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ʊ,∅,∅,a,∅,∅,∅,∅,∅,∅
91,o,ˈi/u(C)_#,,w,ə,ə,∅,∅,∅,∅,∅,ɪ,∅,∅,o,∅,∅,∅,∅,∅,∅
92,o,ˈV(C)_#,,w,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,o,∅,∅,∅,∅,∅,∅
93,u,ˈV(C)_#,,w,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
94,i,,,v,ə|∅,ə,i|ɪ|ɛ|æ|a|ə|ɒ|ɔ|ʊ|u|∅,i|ɪ|ɛ|æ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɒ|œ|ø|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i,i|ɪ|ɛ|a|ɔ|ʊ|u,∅,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i,i|ɪ|ɛ|a|ɞ|ɵ|ʉ|ɔ|ʊ
95,e,,,v,ə|∅,ə,i|ɪ|ɛ|æ|a|ə|ɒ|ɔ|ʊ|u|∅,i|ɪ|ɛ|æ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɒ|œ|ø|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,e,i|ɪ|ɛ|a|ɔ|ʊ|u,∅,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɞ|ɵ|ʉ|ɔ|ʊ
96,a,,,v,ə,ə,i|ɪ|ɛ|æ|a|ə|ɒ|ɔ|ʊ|u|∅,i|ɪ|ɛ|æ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɒ|œ|ø|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,a,i|ɪ|ɛ|a|ɔ|ʊ|u,∅,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɞ|ɵ|ʉ|ɔ|ʊ
97,o,,,v,ə|∅,ə,i|ɪ|ɛ|æ|a|ə|ɒ|ɔ|ʊ|u|∅,i|ɪ|ɛ|æ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɒ|œ|ø|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,o,i|ɪ|ɛ|a|ɔ|ʊ|u,∅,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɞ|ɵ|ʉ|ɔ|ʊ
98,u,,,v,ə|∅,ə,i|ɪ|ɛ|æ|a|ə|ɒ|ɔ|ʊ|u|∅,i|ɪ|ɛ|æ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|æ|a|ɒ|œ|ø|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|œ|ø|y|ɔ|ʊ,i|ɪ|ɛ|a|ɔ|ʊ|u,u,i|ɪ|ɛ|a|ɔ|ʊ|u,∅,i|ɪ|ɛ|a|ɔ|ʊ|u,i|ɪ|ɛ|a|ɔ|ʊ|u,u,i|ɪ|ɛ|a|ɞ|ɵ|ʉ|ɔ|ʊ